Year,Park,Site,Borough,Latitude,Longitude,SM_ID,Sex_01,Weight,ISCAP_Larva,DON_IS,DIN_Borrelia,DIN_Babesia,Borrelia_qPCR,Babesia_qPCR,Effort_qPCR,Connect_site_1000,Impervious_site,SM_abundance,MM_abundance
2023,Alley Pond,Q-AP09,Queens,40.7435675,-73.739471,SM-002,1,30,0,0.2308,0,0,0,0,2,15.99170219,0.0246,3.1,15.63
2024,Alley Pond,Q-AP09,Queens,40.7428417,-73.736892,SM-114,1,17,0,0.125,0.0625,0,0,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP09,Queens,40.7436655,-73.739306,SM-115,1,27,0,0.125,0.0625,0,0,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP09,Queens,40.7436655,-73.739306,SM-116,1,20,0,0.125,0.0625,0,1,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP09,Queens,40.7436139,-73.739101,SM-117,0,18,0,0.125,0.0625,0,0,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP09,Queens,40.7436655,-73.739306,SM-118,1,17,0,0.125,0.0625,0,0,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP09,Queens,40.7436139,-73.739101,SM-119,0,21,1,0.125,0.0625,0,0,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP09,Queens,40.7436139,-73.739101,SM-120,1,26,0,0.125,0.0625,0,1,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP09,Queens,40.743905,-73.742591,SM-73,0,23,0,0.125,0.0625,0,0,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP09,Queens,40.7439731,-73.7423,SM-74,0,14,0,0.125,0.0625,0,0,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP09,Queens,40.7428417,-73.736892,SM-113,0,28,0,0.125,0.0625,0,1,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP09,Queens,40.7440981,-73.742762,SM-110,1,19,0,0.125,0.0625,0,1,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP09,Queens,40.7428417,-73.736892,SM-111,1,23,0,0.125,0.0625,0,1,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP09,Queens,40.7430348,-73.737025,SM-112,1,28,0,0.125,0.0625,0,0,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP09,Queens,40.7437963,-73.739545,SM-72,1,16,0,0.125,0.0625,0,0,0,1,15.99170219,0.0246,11.81,15.91
2023,Alley Pond,Q-AP09,Queens,40.7435923,-73.739461,SM-023,1,28,0,0.2308,0,0,1,0,2,15.99170219,0.0246,3.1,15.63
2023,Alley Pond,Q-AP09,Queens,40.7441654,-73.74305,SM-024,0,12,0,0.2308,0,0,0,0,2,15.99170219,0.0246,3.1,15.63
2024,Alley Pond,Q-AP09,Queens,40.7428417,-73.736892,SM-70,0,19,0,0.125,0.0625,0,0,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP09,Queens,40.7428417,-73.736892,SM-71,1,21,0,0.125,0.0625,0,0,0,1,15.99170219,0.0246,11.81,15.91
2024,Alley Pond,Q-AP23,Queens,40.7426766,-73.747383,SM-75,1,26,0,0.125,0.0625,0,0,0,2,15.41142293,0.293,12.5,44.44
2023,Cunningham,Q-CM10,Queens,40.7406947,-73.764781,SM-012,0,23,2,0.0625,0.0625,0,1,0,1,12.77534864,0.1816,20.83,50
2023,Cunningham,Q-CM10,Queens,40.740377,-73.765279,SM-017,1,23,0,0.0625,0.0625,0,0,0,2,12.77534864,0.1816,20.83,50
